sample no_occurences quality_scores
total_map_quality.txt X106T 10690
total_map_quality.txt X106T 16757
total_map_quality.txt X106T 19263
total_map_quality.txt X106T 110270935
total_map_quality.txt X106T 26673
total_map_quality.txt X106T 12782
total_map_quality.txt X106T 53462
total_map_quality.txt X1097N 5731041
total_map_quality.txt X1097N 21736
total_map_quality.txt X1097N 30502
total_map_quality.txt X1097N 9130
total_map_quality.txt X1097N 18716
total_map_quality.txt X1097N 26735
total_map_quality.txt X1097N 8479
total_map_quality.txt X1097N 48038
total_map_quality.txt X1097N 14145
total_map_quality.txt X1097N 17384
total_map_quality.txt X1097N 20108
total_map_quality.txt X1097N 34122
total_map_quality.txt X1097N 6268
total_map_quality.txt X1097N 46863
total_map_quality.txt X1097N 66377
total_map_quality.txt X1097N 86069
total_map_quality.txt X1097N 82037
total_map_quality.txt X1097N 141462
total_map_quality.txt X1097N 265538
total_map_quality.txt X1097N 9403
total_map_quality.txt X1097N 879520
total_map_quality.txt X1097N 6418
total_map_quality.txt X1097N 6583
total_map_quality.txt X1097N 48193
total_map_quality.txt X1097N 15735
total_map_quality.txt X1097N 18117
total_map_quality.txt X1097N 3162
total_map_quality.txt X1097N 50378
total_map_quality.txt X1097N 6750
total_map_quality.txt X1097N 7167
total_map_quality.txt X1097N 13775
total_map_quality.txt X1097N 23183
total_map_quality.txt X1097N 6239
total_map_quality.txt X1097N 63169
total_map_quality.txt X1097N 11150
total_map_quality.txt X1097N 1038508
total_map_quality.txt X1097N 13260
total_map_quality.txt X1097N 45042
total_map_quality.txt X1097N 33986
total_map_quality.txt X1097N 30435
total_map_quality.txt X1097N 99886
total_map_quality.txt X1097N 52633
total_map_quality.txt X1097N 129173
total_map_quality.txt X1097N 169244
total_map_quality.txt X1097N 166795
total_map_quality.txt X1097N 11683
total_map_quality.txt X1097N 734074
total_map_quality.txt X1097N 38071
total_map_quality.txt X1097N 72374
total_map_quality.txt X1097N 23686
total_map_quality.txt X1097N 38182
total_map_quality.txt X1097N 92972
total_map_quality.txt X1097N 6927
total_map_quality.txt X1097N 151611
total_map_quality.txt X1097N 9319
total_map_quality.txt X1097N 16905
total_map_quality.txt X1097N 17781
total_map_quality.txt X1097N 114826018
total_map_quality.txt X1097N 27702
total_map_quality.txt X1097N 13114
total_map_quality.txt X1097N 56411
total_map_quality.txt X1097T 4568420
total_map_quality.txt X1097T 20734
total_map_quality.txt X1097T 26186
total_map_quality.txt X1097T 8615
total_map_quality.txt X1097T 17912
total_map_quality.txt X1097T 24957
total_map_quality.txt X1097T 8057
total_map_quality.txt X1097T 46004
