"1p"	"1q"	"2p"	"2q"	"3p"	"3q"	"4p"	"4q"	"5p"	"5q"	"6p"	"6q"	"7p"	"7q"	"8p"	"8q"	"9p"	"9q"	"10p"	"10q"	"11p"	"11q"	"12p"	"12q"	"13q"	"14q"	"15q"	"16p"	"16q"	"17p"	"17q"	"18p"	"18q"	"19p"	"19q"	"20p"	"20q"	"21q"	"22q"	"Xp"	"Xq"
"TCGA.09.2049.01"	0	1.027	0	1.469	0	0.545	-0.672	-0.672	-0.722	-0.722	0.764	-0.71	0.571	0.494	0	0	-0.632	-0.632	0.673	0	0	0	0.489	0.489	0.426	0	0	-1.293	-1.293	-0.533	-0.533	0	-0.666	-0.463	-0.463	0.834	0	-0.64	-0.534	-0.329	-0.368
"TCGA.09.2050.01"	0	0	0	0	-0.913	-0.913	-0.928	-0.928	0	0	0.859	0	0	0	-0.92	0	0	0	0.818	0	-0.345	-0.345	0	0	-0.918	0	-0.919	-0.932	-0.919	-0.919	-0.919	0	-0.918	-0.836	-0.836	0	0	-0.925	-0.924	-0.303	-0.303
"TCGA.09.2051.01"	0.884	0.884	0	0	-0.285	0.484	-0.564	-0.564	0	0	0.56	0.56	0	0	-0.601	-0.601	1.083	0	0.712	0	0.096	-0.585	0.573	0	-0.614	-0.605	-0.616	0	-0.593	0.413	0.413	0	0	-0.612	-0.287	1.691	1.691	-0.534	-0.638	0.278	-0.306
"TCGA.09.2053.01"	0	0	0	0	-0.951	1.229	-0.95	-0.95	0	0	-0.945	-0.945	0	0	0	0	-0.912	-0.912	-0.85	-0.399	-0.654	-0.654	0	0	0	-0.935	0	-0.911	-0.911	-0.901	-0.555	-0.801	-0.801	-0.886	-0.886	0	1.013	0	-0.916	0	0
"TCGA.09.2054.01"	0	0.686	0.737	0	-0.641	0	-0.626	-0.626	0.06	-0.61	1.097	0	1.366	0	-0.673	-0.673	-0.635	-0.635	0	0	0	0	0	0	-0.618	0	-0.689	-0.68	-0.68	-0.713	-0.713	0.039	-1.293	2.549	-0.657	-0.56	0	0	-0.726	0	0
"TCGA.09.2055.01"	0	0	0	0	0	0	0	-0.897	0	0	0	-0.841	0	0	0	0.916	-0.949	-0.949	0	0.684	0	0.83	-0.94	0.699	-0.923	0	0	0	0	-0.955	-0.955	0.841	-0.088	-0.912	-0.912	0	1.476	0	0	0	0
"TCGA.10.0925.01"	1.029	1.029	0	0	0	0	0	0	0	0	-0.011	-1.078	0	0	-1.07	1.042	0	0	0	0	0	0	0	0	-1.03	-1.069	-1.056	-1.054	-1.054	0	0	0	0	0	0	0	0	0	-1.043	0	0
"TCGA.10.0926.01"	0	0	0	0	0	0	0.009	-0.659	0	0	-0.678	-0.678	0.587	0.587	0	0	-0.631	0	0	0	-0.633	-0.633	3.657	3.657	0.669	-0.654	-0.655	0.176	-1.293	-0.649	-0.649	-0.643	-0.643	0.966	0.966	0	0	-0.655	-0.636	0	0
"TCGA.10.0927.01"	0	0	0.552	0.839	0	0	-0.656	-0.656	0.628	-0.613	-1.293	-1.293	0	0.648	-0.668	-0.072	-0.639	-0.639	0	0	0	-0.648	1.788	0.624	-0.646	0	-0.629	0	-0.625	-0.609	-0.609	-0.646	-0.646	0	0	0	0	-0.627	-1.291	-1.037	0.704
"TCGA.10.0928.01"	-0.804	-0.804	0	0	0	0	-0.966	-0.966	0	0	0	0	-0.987	-0.987	-0.958	0	0	0	0	0.597	-0.94	-0.94	0.884	0	0	-0.253	0	-0.943	-0.943	0	-0.923	-0.786	-0.786	0	0	0	0	0	-0.952	-0.923	-0.923
